op,size,threads,trial,time
mm,1024,2,18,4.769
mm,1024,2,19,4.653
mm,1024,3,0,3.302
mm,1024,3,1,3.309
mm,1024,3,2,3.313
mm,1024,3,3,3.34
mm,1024,3,4,3.309
mm,1024,3,5,3.307
mm,1024,3,6,3.449
mm,1024,3,7,3.341
mm,1024,3,8,3.293
mm,1024,3,9,3.302
mm,1024,3,10,3.293
mm,1024,3,11,3.328
mm,1024,3,12,3.348
mm,1024,3,13,3.33
mm,1024,3,14,3.31
mm,1024,3,15,3.357
mm,1024,3,16,3.369
mm,1024,3,17,3.451
mm,1024,3,18,3.39
mm,1024,3,19,3.342
mm,1024,4,0,2.727
mm,1024,4,1,2.865
mm,1024,4,2,2.729
mm,1024,4,3,2.741
mm,1024,4,4,2.806
mm,1024,4,5,2.701
mm,1024,4,6,2.737
mm,1024,4,7,2.73
mm,1024,4,8,2.713
mm,1024,4,9,2.745
mm,1024,4,10,2.719
mm,1024,4,11,2.707
mm,1024,4,12,2.743
mm,1024,4,13,2.72
mm,1024,4,14,2.767
mm,1024,4,15,2.776
mm,1024,4,16,2.768
mm,1024,4,17,2.744
mm,1024,4,18,2.756
mm,1024,4,19,2.813
mm,1024,5,0,2.683
mm,1024,5,1,2.642
mm,1024,5,2,2.636
mm,1024,5,3,2.64
mm,1024,5,4,2.638
mm,1024,5,5,2.669
mm,1024,5,6,2.638
mm,1024,5,7,2.65
mm,1024,5,8,2.643
mm,1024,5,9,2.632
mm,1024,5,10,2.642
mm,1024,5,11,2.679
mm,1024,5,12,2.685
mm,1024,5,13,2.639
mm,1024,5,14,2.637
mm,1024,5,15,2.686
mm,1024,5,16,2.682
mm,1024,5,17,2.629
mm,1024,5,18,2.675
mm,1024,5,19,2.651
mm,1024,6,0,2.438
mm,1024,6,1,2.455
mm,1024,6,2,2.364
mm,1024,6,3,2.357
mm,1024,6,4,2.36
mm,1024,6,5,2.357
mm,1024,6,6,2.394
mm,1024,6,7,2.357
mm,1024,6,8,2.408
mm,1024,6,9,2.413
mm,1024,6,10,2.427
mm,1024,6,11,2.394
mm,1024,6,12,2.347
mm,1024,6,13,2.376
mm,1024,6,14,2.408
mm,1024,6,15,2.354
mm,1024,6,16,2.353
mm,1024,6,17,2.419
mm,1024,6,18,2.41
mm,1024,6,19,2.355
mm,1024,7,0,2.234
mm,1024,7,1,2.21
mm,1024,7,2,2.431
mm,1024,7,3,2.244
mm,1024,7,4,2.206
mm,1024,7,5,2.253
mm,1024,7,6,2.212
mm,1024,7,7,2.161
mm,1024,7,8,2.172
mm,1024,7,9,2.195
