op,size,threads,trial,time
mm,256,1,47,0.149
mm,256,1,48,0.154
mm,256,1,49,0.15
mm,256,1,50,0.15
mm,256,1,51,0.149
mm,256,1,52,0.15
mm,256,1,53,0.153
mm,256,1,54,0.152
mm,256,1,55,0.146
mm,256,1,56,0.146
mm,256,1,57,0.144
mm,256,1,58,0.144
mm,256,1,59,0.144
mm,256,1,60,0.148
mm,256,1,61,0.144
mm,256,1,62,0.143
mm,256,1,63,0.144
mm,256,1,64,0.146
mm,256,1,65,0.15
mm,256,1,66,0.147
mm,256,1,67,0.148
mm,256,1,68,0.149
mm,256,1,69,0.153
mm,256,1,70,0.149
mm,256,1,71,0.148
mm,256,1,72,0.146
mm,256,1,73,0.146
mm,256,1,74,0.146
mm,256,1,75,0.147
mm,256,1,76,0.145
mm,256,1,77,0.147
mm,256,1,78,0.143
mm,256,1,79,0.144
mm,256,1,80,0.153
mm,256,1,81,0.148
mm,256,1,82,0.148
mm,256,1,83,0.143
mm,256,1,84,0.14
mm,256,1,85,0.145
mm,256,1,86,0.143
mm,256,1,87,0.149
mm,256,1,88,0.157
mm,256,1,89,0.152
mm,256,1,90,0.149
mm,256,1,91,0.143
mm,256,1,92,0.148
mm,256,1,93,0.149
mm,256,1,94,0.15
mm,256,1,95,0.154
mm,256,1,96,0.146
mm,256,1,97,0.148
mm,256,1,98,0.148
mm,256,1,99,0.142
mm,256,2,0,0.078
mm,256,2,1,0.079
mm,256,2,2,0.085
mm,256,2,3,0.087
mm,256,2,4,0.081
mm,256,2,5,0.077
mm,256,2,6,0.089
mm,256,2,7,0.088
mm,256,2,8,0.082
mm,256,2,9,0.079
mm,256,2,10,0.079
mm,256,2,11,0.085
mm,256,2,12,0.077
mm,256,2,13,0.081
mm,256,2,14,0.077
mm,256,2,15,0.079
mm,256,2,16,0.077
mm,256,2,17,0.075
mm,256,2,18,0.076
mm,256,2,19,0.087
mm,256,2,20,0.081
mm,256,2,21,0.081
mm,256,2,22,0.08
mm,256,2,23,0.078
mm,256,2,24,0.082
mm,256,2,25,0.081
mm,256,2,26,0.087
mm,256,2,27,0.084
mm,256,2,28,0.075
mm,256,2,29,0.077
mm,256,2,30,0.082
mm,256,2,31,0.085
mm,256,2,32,0.075
mm,256,2,33,0.077
mm,256,2,34,0.076
mm,256,2,35,0.076
mm,256,2,36,0.077
mm,256,2,37,0.082
mm,256,2,38,0.079
mm,256,2,39,0.079
mm,256,2,40,0.075
mm,256,2,41,0.077
mm,256,2,42,0.079
mm,256,2,43,0.08
mm,256,2,44,0.078
mm,256,2,45,0.081
mm,256,2,46,0.086
mm,256,2,47,0.074
mm,256,2,48,0.076
